yyyy,mm,tmax,tmin,af,rain,sun,whitby
degc,degc,days,mm,hours,whitby
1989,11,9.5,5.0,2,40.7,74.2$,whitby
1989,12,7.5,2.7,3,50.7,28.0$,whitby
1990,1,8.8,3.3,2,69.6,74.9$,whitby
1990,2,9.5,3.8,2,67.8,78.6$,whitby
1990,3,11.6,4.5,4,7.2,130.2$,whitby
1990,4,11.4,3.9,3,12.0,207.8$,whitby
1990,5,14.1,6.9,0,22.8,202.5$,whitby
1990,6,16.4,9.9,0,64.6,112.2$,whitby
1990,7,18.5,11.0,0,17.9,253.6$,whitby
1990,8,21.2,13.4,0,32.6,206.5$,whitby
1990,9,15.2,9.4,0,27.6,138.7$,whitby
1990,10,14.2,9.1,0,66.9,106.6$,whitby
1990,11,9.3,5.4,3,25.1,55.0$,whitby
1990,12,7.6,3.0,1,87.6,43.9$,whitby
1991,1,5.6,0.2,14,42.1,91.6$,whitby
1991,2,5.1,0.1,14,63.7,48.8$,whitby
1991,3,10.0,4.6,1,31.5,63.8$,whitby
1991,4,10.0,4.0,3,13.1,154.5$,whitby
1991,5,12.4,7.2,0,14.6,134.0$,whitby
1991,6,15.0,8.2,0,42.0,166.1$,whitby
1991,7,19.3,12.6,0,26.4,195.6$,whitby
1991,8,20.5,12.6,0,11.5,201.7$,whitby
1991,9,17.1,10.0,0,13.1,150.2$,whitby
1991,10,12.0,7.7,0,43.8,67.0$,whitby
1991,11,9.4,3.4,3,60.5,59.8$,whitby
1991,12,8.2,2.0,8,41.8,69.8$,whitby
1992,1,7.0,1.4,13,28.2,72.3$,whitby
1992,2,9.0,2.9,3,25.8,107.1$,whitby
1992,3,9.7,4.5,1,51.5,101.7$,whitby
1992,4,11.5,6.2,0,36.1,136.1$,whitby
1992,5,14.9,7.6,0,12.0,258.8$,whitby
1992,6,17.4,11.1,0,29.9,174.7$,whitby
1992,7,18.7,11.7,0,60.4,171.1$,whitby
1992,8,19.0,10.5,0,44.9,187.4$,whitby
1992,9,15.8,9.6,0,103.7,121.9$,whitby
1992,10,10.0,5.0,4,72.8,81.8$,whitby
1992,11,10.0,3.7,3,58.5,76.6$,whitby
1992,12,6.6,1.8,8,57.8,54.5$,whitby
1993,1,8.3,2.6,4,33.7,59.8$,whitby
